"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.162130281769887,0.553902131221905,0.345509616190188
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"5","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.934116054608886,3.18727616983789,0.0223669547328303
"6","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,1.6229445508379,4.41371926420569,0.0769742026402915
"7","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,1.31754657238961,0.154739805571736,0.222323111512493
"8","B","B","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.118578093468527,1.31754657238961,0.700672742117141,0.0547950413465497
"9","B","B","PKM","PKM","CD44","CD44",0.677131888410867,0.655390474380009,2.27793473880842,2.10305992165709,0.0926361435107087
"10","B","B","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.617799111087582,1.31754657238961,1.8300646257036,0.109303198569387
"11","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,1.11623711513804,0.697683446781304,0.0503861132642778
"12","B","B","B2M","B2M","CD247","CD247",5.08030092207413,0.269537489139202,16.4909361341051,3.27735123790336,0.0253361323219609
"13","B","B","LTB","LTB","CD40","CD40",2.96262657253701,0.685959760600616,6.15923181221312,0.780509523113104,0.422737522510463
"14","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,1.40033817734311,4.0705488221705,0.0712229823792638
"15","B","B","VIM","VIM","CD44","CD44",2.02913858438351,0.655390474380009,5.3647900371808,2.10305992165709,0.117871132830833
"16","B","B","B2M","B2M","CD3G","CD3G",5.08030092207413,0.218130867710745,16.4909361341051,0.79741212112046,0.0842710532581933
"17","B","B","LY86","LY86","CD180","CD180",0.949692744779679,0.306532618014217,0.996731945696233,0.356606400125491,0.819015844263507
"18","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.693695021807627,0.566095305655995,0.156892328495968
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,1.6229445508379,0.24343415955529,0.199048463342506
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,6.59848126244347,0.700672742117141,0.0270838635150079
"22","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,1.86524208179663,0.980014881462446,0.331553029515524
"23","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.442947348968493,0.136564891325529,1.36938796855623,0.239994573954884,0.184061619765235
"24","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.934116054608886,3.18727616983789,0.0960965305112427
"25","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.07522147794157,1.6229445508379,4.41371926420569,0.0623384258476618
"26","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.646330301209225,1.31754657238961,0.997751209155318,0.209741453108333
"27","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.254680211646446,1.31754657238961,0.700672742117141,0.117687949933341
"28","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",0.426597193353934,0.313315850176681,1.31754657238961,0.463089072303755,0.219063413749433
"29","B","NK","PKM","PKM","CD44","CD44",0.677131888410867,0.425514216912607,2.27793473880842,2.10305992165709,0.0601442919979147
"30","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.734176766623014,0.313315850176681,1.86524208179663,0.463089072303755,0.266307418523642
"31","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.327631764490504,6.15923181221312,0.484905092820628,0.324997200055308
